,Annual Sales,Key Personnel,No of Employees,Primary Company Type,Quality Certifications,Registrations,Year Founded,companyName,website,Additional Activities,{'Website,"Primary Company Type': ""Manufacturers' Rep"", 'Key Personnel","Primary Company Type': ""Manufacturers' Rep"", 'Additional Activities","Additional Activities': ""Manufacturer, Custom Manufacturer, Manufacturers' Rep"", 'Key Personnel","Key Personnel': ""John Czulno, President</li><li>Brandon Deardorff, Sales Mgr.</li><li>Russ Blais, Mgr.</li><li>Mike O'Rourke, Sales</li><li>Michael Griffin, Sales Manager"", 'Quality Certifications","Additional Activities': ""Custom Manufacturer, Manufacturers' Rep, Service Company"", 'Key Personnel","Additional Activities': ""Manufacturers' Rep, Service Company"", 'Key Personnel","Additional Activities': ""Custom Manufacturer, Manufacturers' Rep"", 'Key Personnel","Additional Activities': ""Distributor, Manufacturers' Rep, Service Company"", 'Key Personnel","Additional Activities': ""Manufacturer, Manufacturers' Rep, Service Company, Finishing Service Company"", 'Key Personnel","Additional Activities': ""Manufacturers' Rep"", 'Key Personnel","Key Personnel': ""Jim Nicholson, Sales Mgr. Midwest Region</li><li>Dennis O'Brien, Sales Mgr. SE Region"", 'Quality Certifications","Additional Activities': ""Distributor, Custom Manufacturer, Manufacturers' Rep, Finishing Service Company"", 'Key Personnel"
510,Under $1 Mil,"Andrew Arnoldi, Owner",1-9,Distributor,Not Available,Not Available,1983'},Pumping Solutions,https://www.pumpsolutions.com,"Custom Manufacturer, Service Company",,,,,,,,,,,,,
511,$1 - 4.9 Mil,Not Available,200-499,Custom Manufacturer,Not Available,Not Available,1955'},T-L Irrigation Company,https://www.tlirr.com/,,,,,,,,,,,,,,
512,$10 - 24.9 Mil,Not Available,50-99,Manufacturer,"<table><tbody><tr><td><a href=""/certifications/download.html?heading=64631005&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=980184&amp;certid=373493"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?heading=64631005&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=980184&amp;certid=373493"" target=""_blank"">ISO 9001:2015</a></td></tr>\n<tr><td><a href=""/certifications/download.html?heading=64631005&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=980184&amp;certid=295360"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?heading=64631005&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=980184&amp;certid=295360"" target=""_blank"">ISO 9001:2008</a></td></tr>\n</tbody></table>","<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_self_reported.png"" title=""Self Reported"" alt=""Self Reported""></td><td>RoHS Compliant</td></tr>\n<tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_self_reported.png"" title=""Self Reported"" alt=""Self Reported""></td><td>Conflict Minerals Disclosure</td></tr>\n<tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_self_reported.png"" title=""Self Reported"" alt=""Self Reported""></td><td>Buy American Act</td></tr>\n</tbody></table>",1990'},Iwaki America Inc.,http://www.iwakiamerica.com,,,,,,,,,,,,,,
513,Under $1 Mil,Not Available,1-9,Distributor,Not Available,Not Available,1996'},Pump Solutions #1 Corporation,https://www.pumpsolutions1corp.com/,Custom Manufacturer,,,,,,,,,,,,,
514,$5 - 9.9 Mil,Not Available,50-99,Manufacturer,Not Available,Not Available,1980'},Parma Company,http://www.parmacompany.com,,,,,,,,,,,,,,
515,$5 - 9.9 Mil,Not Available,10-49,Distributor,Not Available,Not Available,1947'},Mutual Screw & Supply,https://www.mutualscrew.com/,Custom Manufacturer,,,,,,,,,,,,,
516,Not Available,"Scott Yeagley, Sales Mgr.",50-99,Manufacturer,Not Available,Not Available,1928'},"AMT, a Gorman-Rupp Company",http://www.amtpump.com,Custom Manufacturer,,,,,,,,,,,,,
517,$25 - 49.9 Mil,,200-499,,"<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></td><td><a href=""https://www.thompsonpump.com/z/-vf.0.0.0.192.49F47DF36A5E75FF2B5E3F1DB0ED45D4DCBA0BEDA0305250277959536054E767"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""https://www.thompsonpump.com/z/-vf.0.0.0.192.49F47DF36A5E75FF2B5E3F1DB0ED45D4DCBA0BEDA0305250277959536054E767"" data-cert_id=""441707"" data-cert_name=""ISO 9001:2015"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""755140"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""64631005"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">ISO 9001:2015</a></td></tr>\n<tr><td><a href=""/certifications/download.html?what=irrigation&amp;heading=64631005&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=755140&amp;certid=102578"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?what=irrigation&amp;heading=64631005&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=755140&amp;certid=102578"" target=""_blank"">ISO 9001:2008</a></td></tr>\n</tbody></table>","<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""https://www.thompsonpump.com/GSA-6-33.html"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""https://www.thompsonpump.com/GSA-6-33.html"" data-cert_id=""102584"" data-cert_name=""GSA Approved"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""755140"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""64631005"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">GSA Approved</a></td></tr>\n</tbody></table>",1970'},"Thompson Pump & Manufacturing Co., Inc.",https://www.thompsonpump.com/,,,,,,,,,,,,,,
518,Under $1 Mil,,1-9,Distributor,Not Available,Not Available,1985'},"Pumps, Inc",http://www.pumpsinc.net,,,,,,,,,"Ethan Myers, President",,,,,
519,$5 - 9.9 Mil,"Terry Mann, Pres.",10-49,Manufacturer,Not Available,Not Available,1961'},Rainbow Manufacturing Co.,http://www.rainbowirrigation.com,Service Company,,,,,,,,,,,,,
520,Under $1 Mil,Not Available,1-9,Manufacturer,Not Available,Not Available,2014'},Sencillo Systems,http://www.sencillosystems.com,Custom Manufacturer,,,,,,,,,,,,,
521,Under $1 Mil,,10-49,Custom Manufacturer,Not Available,Not Available,1990'},"Fox Engineering, LLC",http://www.foxengineeringllc.com,,,,,,,,,,Not Available,,,,
522,Under $1 Mil,,1-9,Distributor,Not Available,Not Available,1999'},A & M Pump & Motor,Failed,,Not Available,,,,,Not Available,,,,,,,
523,Not Available,Not Available,Not Available,Distributor,Not Available,Not Available,Not Available'},"Tulsa Tool & Pump Co., Inc.",Failed,"Custom Manufacturer, Service Company",Not Available,,,,,,,,,,,,
524,Under $1 Mil,,1-9,,Not Available,Not Available,1970'},Westflow Company,Failed,,Not Available,Not Available,,,,,,,,,,,
525,Not Available,"John Krzak, G.M.</li><li>Laura Krzak",Not Available,Service Company,Not Available,Not Available,1972'},"Fluid Pump Service, Inc.",Failed,"Distributor, Custom Manufacturer",Not Available,,,,,,,,,,,,
526,$5 - 9.9 Mil,"Dan Pritchard, Dir., Sales &amp; Marketing</li><li>Justin Welder, Sales Mgr.",10-49,,Not Available,Not Available,Not Available'},"KM Specialty Pumps & Systems, Inc.",http://www.kmspecialty.com,,,,,,,,,,,,,,
527,Not Available,,Not Available,,Not Available,Not Available,1953'},Johnstone Supply,https://www.johnstonesupply.com/storefront/index.ep,,,,,,,,,,,,,,
528,$5 - 9.9 Mil,Not Available,10-49,Manufacturer,"<table><tbody><tr><td><a href=""/certifications/download.html?heading=64631005&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=1306988&amp;certid=389899"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?heading=64631005&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=1306988&amp;certid=389899"" target=""_blank"">ISO 9001:2015</a></td></tr>\n</tbody></table>",Not Available,1932'},Price Pump Co.,http://www.pricepump.com/Home.aspx,,,,,,,,,,,,,,
529,$1 - 4.9 Mil,Not Available,1-9,Manufacturer,Not Available,Not Available,1949'},Memphis Pump & Manufacturing Co. Inc.,http://www.memphispump.com,Custom Manufacturer,,,,,,,,,,,,,
530,Not Available,Not Available,Not Available,Manufacturer,Not Available,Not Available,Not Available'},Pressure Pak Systems Inc.,http://www.pressurepak.com,,,,,,,,,,,,,,
531,$1 - 4.9 Mil,Not Available,1-9,Service Company,Not Available,Not Available,1976'},"Fluid Machinery, Inc.",http://www.fluidmachineryinc.com,,,,,,,,,,,,,,
532,$1 - 4.9 Mil,"N.D. Hauff, Engineering Mgr.",10-49,Manufacturer,Not Available,Not Available,1964'},"Hauff, H.F., Co.",http://www.hfhauff.com/#,Distributor,,,,,,,,,,,,,
533,Not Available,Not Available,200-499,,Not Available,Not Available,Not Available'},"Aermotor Pumps, Inc.",http://www.aermotor.com,,,,,,,,,,,,,,
534,,,,,,,,Lethbridge Machine Shop Inc.,Failed,,,,,,,,,,,,,,
535,Under $1 Mil,"Michael McMaster, G.M.</li><li>Dave McMaster, Pres.",1-9,Manufacturer,Not Available,Not Available,2012'},Tico Irrigation LLC,http://mcmasterfarmsllc.com/,,,,,,,,,,,,,,
536,$10 - 24.9 Mil,"Kevin Laurin, V.P., Sales",10-49,Service Company,"<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_3rd_party.png"" title=""3rd Party Sourced"" alt=""3rd Party Sourced""></td><td><a href=""http://web.sba.gov/dsbs/search/dsp_profile.cfm?DUNS=050532063"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://web.sba.gov/dsbs/search/dsp_profile.cfm?DUNS=050532063"" data-cert_id=""161657"" data-cert_name=""ISO 9000 (Not Specified)"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""1153798"" data-conversion_action=""3rd Party Sourced Certification"" data-coverage_area=""NA"" data-heading=""64631005"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""3rd_Party_Sourced"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">ISO 9000 (Not Specified)</a></td></tr>\n</tbody></table>",Not Available,2001'},Alaska Roteq Corp,http://www.akroteq.com,,,,,,,,,,,,,,
537,Under $1 Mil,Not Available,1-9,Manufacturer,Not Available,Not Available,1980'},Fisher Pumps Inc.,http://www.fisherpumps.com,,,,,,,,,,,,,,
538,Under $1 Mil,"Les Burrage, Sales Mgr.</li><li>Preston Campbell, National Sales Mgr.</li><li>Keith Burrage, G.M.",10-49,Manufacturer,Not Available,Not Available,1981'},"Penn Valley Pump Co., Inc.",http://www.pennvalleypump.com,,,,,,,,,,,,,,
539,$5 - 9.9 Mil,Not Available,10-49,,Not Available,Not Available,1965'},Munro,https://www.munropump.com/Home,,,,,,,,,,,,,,
540,$1 - 4.9 Mil,Not Available,50-99,Manufacturer,Not Available,Not Available,1979'},"Beckson Industrial Products, Inc.",http://www.becksonindustrial.com,Distributor,,,,,,,,,,,,,
541,$50 - 99.9 Mil,Not Available,200-499,,Not Available,Not Available,1966'},"Pantropic Power, Inc.",http://www.pantropic.com/power/,,,,,,,,,,,,,,
542,$1 - 4.9 Mil,,10-49,Custom Manufacturer,Not Available,Not Available,Not Available'},Sawtelle & Rosprim Machine Shop,http://www.sawtelleandrosprim.com,,,,,,,,,,,Not Available,,,
543,Not Available,Not Available,10-49,Manufacturer,Not Available,Not Available,Not Available'},Odell's Pump & Motor Service,http://www.odellspump.net/,Service Company,,,,,,,,,,,,,
544,$50 - 99.9 Mil,Not Available,200-499,Manufacturer,Not Available,Not Available,1856'},A. Y. McDonald Supply Co.,https://aymcdonald.com/,,,,,,,,,,,,,,
545,Under $1 Mil,"Gary Brooks, Mgr.",10-49,Manufacturer,Not Available,Not Available,1895'},"Lo-Lift Pump Co., Inc.",http://www.lolift.com/,,,,,,,,,,,,,,
546,$50 - 99.9 Mil,,100-199,,Not Available,Not Available,1882'},Mitchell Lewis & Staver Co.,http://www.mitchellewis.com,,,,,,,,,,,,,,
547,Not Available,Not Available,10-49,Manufacturer,Not Available,Not Available,Not Available'},Aquatech,http://aquatechpumping.com/,,,,,,,,,,,,,,
548,$50 - 99.9 Mil,Not Available,100-199,Manufacturer,"<table><tbody><tr><td><a href=""/certifications/download.html?heading=64631005&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=1101797&amp;certid=412164"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?heading=64631005&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=1101797&amp;certid=412164"" target=""_blank"">ISO 9001:2015</a></td></tr>\n<tr><td><a href=""/certifications/download.html?heading=64631005&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=1101797&amp;certid=334225"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?heading=64631005&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=1101797&amp;certid=334225"" target=""_blank"">ISO 9001:2008</a></td></tr>\n</tbody></table>",Not Available,1946'},Cornell Pump Company,http://www.cornellpump.com,Distributor,,,,,,,,,,,,,
549,$10 - 24.9 Mil,"R. Ronquillo, Mgr., Quality Assurance</li><li>R. Bean, Engr.",100-199,,Not Available,"<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""http://www.gulfengineering.com/employment.php"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.gulfengineering.com/employment.php"" data-cert_id=""290546"" data-cert_name=""Drug-Free Workplace Program"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""20010326"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""64631005"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">Drug-Free Workplace Program</a></td></tr>\n</tbody></table>",1924'},"Gulf Engineering Co., Inc.",http://www.gulfengineering.com/,,,,,,,,,,,,,,
550,$10 - 24.9 Mil,Not Available,10-49,Distributor,Not Available,Not Available,2007'},Timberline Plastics,http://www.timberlineplastics.com/,Custom Manufacturer,,,,,,,,,,,,,
551,,,,,,,,Stowell Pumps - Div. of Canseis Clearing Ltd.,Failed,,,,,,,,,,,,,,
552,Under $1 Mil,Not Available,1-9,Distributor,Not Available,Not Available,1991'},M H Pump & Supply,http://www.mhpump.com,,,,,,,,,,,,,,
553,$1 - 4.9 Mil,Not Available,1-9,Distributor,"<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_3rd_party.png"" title=""3rd Party Sourced"" alt=""3rd Party Sourced""></td><td><a href=""http://web.sba.gov/dsbs/search/dsp_profile.cfm?DUNS=058729567"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://web.sba.gov/dsbs/search/dsp_profile.cfm?DUNS=058729567"" data-cert_id=""163458"" data-cert_name=""ISO 9000 (Not Specified)"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""1245714"" data-conversion_action=""3rd Party Sourced Certification"" data-coverage_area=""NA"" data-heading=""64631005"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""3rd_Party_Sourced"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">ISO 9000 (Not Specified)</a></td></tr>\n</tbody></table>",Not Available,1990'},Denver Winpump Co.,http://www.denverwinpump.com/,,,,,,,,,,,,,,
554,$10 - 24.9 Mil,Not Available,10-49,Manufacturer,Not Available,Not Available,Not Available'},Bell Power Inc.,http://www.bellpower.com,Distributor,,,,,,,,,,,,,
555,,,,,,,,Welpro Supply Ltd.,Failed,,,,,,,,,,,,,,
556,Not Available,Not Available,Not Available,Distributor,Not Available,Not Available,Not Available'},"Tanaka America, Inc.",http://www.tanaka-usa.com/,,,,,,,,,,,,,,
557,$1 - 4.9 Mil,Not Available,10-49,,Not Available,Not Available,1963'},H&R Industries,http://www.handr-industries.com/,,,,,,,,,,,,,,
558,,,,,,,,Highlands Irrigation Ltd.,Failed,,,,,,,,,,,,,,
559,Under $1 Mil,"David Allen, Sales Mgr.</li><li>Patrick Rienks, V.P., Sales &amp; Marketing",1000+,,Not Available,Not Available,Not Available'},"Crane Pumps & Systems, Inc.",http://www.cranepumps.com,,,,,,,,,,,,,,
560,$1 - 4.9 Mil,"Rebecca Alfonso, Sales &amp; Marketing Mgr.",10-49,Manufacturer,Not Available,Not Available,1947'},Protek Specialty Co.,https://www.protekspecialty.com/,,,,,,,,,,,,,,
561,$1 - 4.9 Mil,Not Available,10-49,Manufacturer,Not Available,Not Available,Not Available'},AgriBusiness International,https://www.abi-irrigation.com/,,,,,,,,,,,,,,
562,Not Available,Not Available,Not Available,Service Company,Not Available,Not Available,Not Available'},"Beatty Well Drilling, LLC.",http://www.beattywell.com,,,,,,,,,,,,,,
563,Under $1 Mil,Not Available,10-49,Manufacturer,Not Available,Not Available,1977'},Roto Grind,http://www.rotogrind.com,,,,,,,,,,,,,,
564,Not Available,Not Available,200-499,,"<table><tbody><tr><td><a href=""/certifications/download.html?what=irrigation&amp;heading=64631005&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=10026308&amp;certid=435122"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?what=irrigation&amp;heading=64631005&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=10026308&amp;certid=435122"" target=""_blank"">ISO 9001:2015</a></td></tr>\n<tr><td><a href=""/certifications/download.html?what=irrigation&amp;heading=64631005&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=10026308&amp;certid=357528"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?what=irrigation&amp;heading=64631005&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=10026308&amp;certid=357528"" target=""_blank"">ISO 14001:2004</a></td></tr>\n<tr><td><a href=""/certifications/download.html?what=irrigation&amp;heading=64631005&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=10026308&amp;certid=357529"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?what=irrigation&amp;heading=64631005&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=10026308&amp;certid=357529"" target=""_blank"">ISO 9001:2008</a></td></tr>\n<tr><td><a href=""/certifications/download.html?what=irrigation&amp;heading=64631005&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=10026308&amp;certid=357527"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?what=irrigation&amp;heading=64631005&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=10026308&amp;certid=357527"" target=""_blank"">ISO/TS 29001:2010</a></td></tr>\n</tbody></table>","<table><tbody><tr><td><a href=""/certifications/download.html?what=irrigation&amp;heading=64631005&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=10026308&amp;certid=357532"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?what=irrigation&amp;heading=64631005&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=10026308&amp;certid=357532"" target=""_blank"">OHSAS 18001:2007</a></td></tr>\n</tbody></table>",1936'},Milton Roy - An Accudyne Industries Brand,http://www.miltonroy.com,,,,,,,,,,,,,,
565,Not Available,"Cheryl Clark, Mgr.</li><li>Stan Easters, Engineering Mgr.",200-499,Manufacturer,Not Available,Not Available,1984'},Gregory Manufacturing Co.,http://www.gregorymfg.com,,,,,,,,,,,,,,
566,$5 - 9.9 Mil,Not Available,10-49,Distributor,Not Available,Not Available,1975'},"Holbrook Plastic Pipe Supply, Inc.",http://www.holbrookpipe.com/,"Custom Manufacturer, Finishing Service Company",,,,,,,,,,,,,
567,$5 - 9.9 Mil,Not Available,10-49,Manufacturer,Not Available,Not Available,Not Available'},"Vak Pak, Inc.",http://www.vakpak.com,Service Company,,,,,,,,,,,,,
568,$100 - 249.9 Mil,"T. Strupp, Sales Mgr.",1000+,Manufacturer,Not Available,Not Available,1934'},"Sta-Rite Industries, Inc.",http://www.sta-rite.com,,,,,,,,,,,,,,
569,$1 - 4.9 Mil,,10-49,Distributor,Not Available,Not Available,Not Available'},"Pump Systems, Inc.",http://www.pumpsystemsinc.com/,,,,,,,,,Not Available,,,,,
570,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available'},Premier Pump Co. (Div. of Pace Supply Corp),http://www.premierpumpsupply.com/catalog.html,,,,,,,,,,,,,,
571,$5 - 9.9 Mil,Not Available,10-49,Manufacturer,Not Available,Not Available,1997'},Johnson Pump,http://www.spxflow.com/en/johnson-pump/,,,,,,,,,,,,,,
572,Not Available,Not Available,10-49,Manufacturer,Not Available,Not Available,Not Available'},"BW/IP International, Inc.",Failed,Service Company,Not Available,,,,,,,,,,,,
573,Not Available,Not Available,10-49,Manufacturer,Not Available,Not Available,Not Available'},"Meuret Pump, Inc.",Failed,,Not Available,,,,,,,,,,,,
574,Not Available,,1-9,,,,1975'},Ace Pump South,Failed,,,,,,,,,,,,,,
575,Under $1 Mil,Not Available,10-49,Manufacturer,Not Available,Not Available,1974'},"R & R Electric, Inc.",Failed,Distributor,Not Available,,,,,,,,,,,,
576,Not Available,Not Available,Not Available,Manufacturer,Not Available,Not Available,Not Available'},House MFG,Failed,,Not Available,,,,,,,,,,,,
577,Under $1 Mil,Not Available,1-9,Manufacturer,Not Available,Not Available,1997'},"Pro-Equipment, Inc.",Failed,Distributor,Not Available,,,,,,,,,,,,
578,Not Available,Not Available,1-9,Custom Manufacturer,Not Available,Not Available,Not Available'},Lorenzo Pump & Machine,Failed,Service Company,Not Available,,,,,,,,,,,,
579,Not Available,Not Available,Not Available,Manufacturer,Not Available,Not Available,1947'},Quality Industries,Failed,,Not Available,,,,,,,,,,,,
580,$10 - 24.9 Mil,Not Available,200-499,Manufacturer,Not Available,Not Available,1872'},"BW/IP International, Inc.",Failed,Service Company,Not Available,,,,,,,,,,,,
581,$1 - 4.9 Mil,Not Available,10-49,Manufacturer,Not Available,Not Available,Not Available'},"Performance Pumps, Inc.",Failed,Custom Manufacturer,Not Available,,,,,,,,,,,,
582,Not Available,,Not Available,,,Not Available,Not Available'},"Southwest Photovoltaic Systems, Inc.",,,,,,,,,,,,,,,
583,Under $1 Mil,Not Available,10-49,Manufacturer,Not Available,Not Available,1984'},Coastal Dewatering Inc.,Failed,,Not Available,,,,,,,,,,,,
584,Not Available,,200-499,,,Not Available,Not Available'},"BW/IP International, Inc.",Failed,,,,,,,,,,,,,,
585,Not Available,"George Sausman, Mgr.",200-499,Service Company,Not Available,Not Available,Not Available'},"BW/IP International, Inc.",Failed,,Not Available,,,,,,,,,,,,
586,Not Available,Not Available,200-499,Manufacturer,Not Available,Not Available,Not Available'},Western Land Roller Co.,Failed,Service Company,Not Available,,,,,,,,,,,,
587,Not Available,Not Available,Not Available,Manufacturer,Not Available,Not Available,1946'},Gerow Equipment Co.,Failed,"Distributor, Service Company",Not Available,,,,,,,,,,,,
588,Under $1 Mil,Not Available,1-9,Manufacturer,Not Available,Not Available,2006'},"Drake Manufacturing Co., Inc.",Failed,,Not Available,,,,,,,,,,,,
589,Not Available,Not Available,10-49,Manufacturer,Not Available,Not Available,1964'},Wemhoff Manufacturing Co.,Failed,,Not Available,,,,,,,,,,,,
590,$250 Mil. and over,,200-499,,Not Available,Not Available,1945'},"Long Fence, Inc.",https://www.longfence.com/,,,,,,,,,,,,,,
591,$10 - 24.9 Mil,,50-99,,Not Available,Not Available,Not Available'},W.P. Law Inc.,http://www.wplawinc.com,,,,,,,,,,,,,,
592,Under $1 Mil,,1-9,,Not Available,Not Available,1981'},Controls Warehouse,http://www.controlswarehouse.net/index.html,,,,,,,,,,,,,,
593,$5 - 9.9 Mil,Not Available,10-49,Manufacturer,Not Available,Not Available,1984'},"American Manufacturing Co., Inc.",http://www.americanonsite.com/,"Distributor, Custom Manufacturer, Service Company",,,,,,,,,,,,,
594,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available'},NAPCO Pipe & Fittings,https://www.napcopipe.com/en,,,,,,,,,,,,,,
595,Not Available,,Not Available,,Not Available,Not Available,Not Available'},Rainmaker Pump Stations,http://www.rainmakerpumpstations.com/,,,,,,,,,,,,,,
596,Not Available,Not Available,Not Available,Manufacturer,"<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_self_reported.png"" title=""Self Reported"" alt=""Self Reported""></td><td>ISO 14001:2004</td></tr>\n<tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_self_reported.png"" title=""Self Reported"" alt=""Self Reported""></td><td>ISO 9001:2008</td></tr>\n</tbody></table>",Not Available,Not Available'},Red Seal Measurement,https://www.redsealmeasurement.com/,Custom Manufacturer,,,,,,,,,,,,,
597,Not Available,Not Available,Not Available,Turnkey Systems Integrator,Not Available,Not Available,Not Available'},Nature Unlimited LLC,http://www.nature-unlimited.com/,,,,,,,,,,,,,,
598,$250 Mil. and over,"Todd Buchwalter, Sales Mgr.",Not Available,,Not Available,Not Available,1975'},"Industrial Plastic Products, Inc.",http://www.ipprod.com,,,,,,,,,,,,,,
599,$10 - 24.9 Mil,"Darrell Lynch, Technical/Sales",50-99,Custom Manufacturer,Not Available,Not Available,1953'},Master Craft Industrial Equipment Corp.,https://www.mastercraftforklifts.com/index.html,"Distributor, Manufacturer",,,,,,,,,,,,,
